listing_id,coe_text
977627,(4yrs 4mths 17days COE left)                            
1023010,(9yrs 2mths 12days COE left)                            
1021055,(5yrs 11mths 2days COE left)                            
953205,(3yrs 4mths 2days COE left)                            
1010167,(7yrs 4mths  COE left)                            
1019334,(9yrs 8mths 5days COE left)                            
1028848,(8yrs 7mths 22days COE left)                            
1003551,(3yrs 5mths 26days COE left)                            
1006128,(7yrs 6mths 13days COE left)                            
985788,(6yrs 8mths 13days COE left)                            
1026578,(9yrs 8mths 22days COE left)                            
1006949,(5yrs 1mth 6days COE left)                            
965500,(7yrs 6mths 27days COE left)                            
1029145,(9yrs 4mths 26days COE left)                            
1017034,(4yrs 23days COE left)                            
1030771,(7yrs 5mths 6days COE left)                            
990220,"
								N.A.                            "
988530,(4yrs 6mths 5days COE left)                            
1023832,(9yrs 6days COE left)                            
1022283,(4yrs 4mths 9days COE left)                            
1005248,(5yrs 22days COE left)                            
1021912,(6yrs 20days COE left)                            
1015807,(4yrs 6days COE left)                            
1028531,(4yrs 8mths 5days COE left)                            
1003644,(2mths 14days COE left)                            
1013226,(7yrs 5days COE left)                            
1027556,(2yrs 5mths 6days COE left)                            
1031152,(6yrs 8mths 20days COE left)                            
1024838,(9yrs 3mths 14days COE left)                            
1002581,(5yrs 8mths 18days COE left)                            
1010001,(5yrs 5mths 4days COE left)                            
1021033,(7yrs 29days COE left)                            
1030705,(8yrs 4mths 27days COE left)                            
1027068,(8yrs 3mths 12days COE left)                            
1018128,(7yrs 5mths 6days COE left)                            
1024395,(1yr 11mths 4days COE left)                            
963082,(5yrs 6mths 5days COE left)                            
1019796,(4yrs 8mths 4days COE left)                            
1025322,(10yrs  COE left)                            
1025512,(7yrs 5mths 6days COE left)                            
994828,(9yrs 2mths 6days COE left)                            
990250,(8yrs 6days COE left)                            
974187,(8yrs 11mths 5days COE left)                            
987006,(6yrs 9mths 13days COE left)                            
1030965,(3yrs 9mths 5days COE left)                            
1016071,(5yrs 2mths 16days COE left)                            
1023418,(1yr 11mths  COE left)                            
961153,(2yrs 6mths 19days COE left)                            
1030375,(8yrs 10mths 26days COE left)                            
1028408,(4yrs 7mths 4days COE left)                            
1020286,(9yrs 4days COE left)                            
1011764,(4yrs 11mths 18days COE left)                            
1022520,(10yrs  COE left)                            
1013804,(9yrs 8mths 16days COE left)                            
979550,(2yrs 6mths 27days COE left)                            
1024594,(7yrs 24days COE left)                            
1031288,(7yrs 2mths 26days COE left)                            
1008199,(4yrs 11mths 18days COE left)                            
1025501,(8yrs 4mths 20days COE left)                            
1026520,(1yr 5mths 9days COE left)                            
1001024,(4yrs 5mths 6days COE left)                            
986495,(9yrs 4mths 26days COE left)                            
1007296,(7yrs 10mths 14days COE left)                            
994566,(9yrs 6mths 3days COE left)                            
1031253,(6mths 5days COE left)                            
1030140,(6yrs 10mths 29days COE left)                            
1031059,(8yrs 3mths 29days COE left)                            
1001363,(8yrs 8mths 24days COE left)                            
960043,(2yrs 6mths 3days COE left)                            
1015993,(1yr 6mths 14days COE left)                            
1025637,(6yrs 3mths 19days COE left)                            
1017838,(2yrs 10mths 14days COE left)                            
1025660,(7yrs 9mths 5days COE left)                            
1018281,(4yrs 7mths 6days COE left)                            
1003980,"
								N.A.                            "
1010657,(10yrs  COE left)                            
1027405,(4yrs 10mths 18days COE left)                            
991635,(4yrs 4mths 4days COE left)                            
1010208,(2yrs 7mths 6days COE left)                            
1031173,(4yrs 3mths  COE left)                            
1003765,(7yrs 10mths 6days COE left)                            
1025165,(6yrs 7mths 26days COE left)                            
1003778,(5yrs 9mths 20days COE left)                            
1028336,(10yrs  COE left)                            
1019899,(7yrs 10mths 5days COE left)                            
1016391,(5yrs 6mths 20days COE left)                            
979020,(4yrs 7mths 1day COE left)                            
962222,(2yrs 4mths 7days COE left)                            
1023699,(10yrs  COE left)                            
1028117,(6yrs 11mths 23days COE left)                            
1026166,(4yrs 1mth 1day COE left)                            
1003900,(3yrs 4mths 1day COE left)                            
1019760,(2yrs 6mths 5days COE left)                            
1021331,(9yrs 9mths 4days COE left)                            
1004648,(8yrs 11mths 5days COE left)                            
1006300,(7yrs 10mths 3days COE left)                            
989886,
1021188,(4yrs 2mths 23days COE left)                            
1030825,(8yrs 8mths 5days COE left)                            
1030777,(7yrs 1mth 16days COE left)                            
1024356,(4yrs 1mth 5days COE left)                            
1019839,(9yrs 9days COE left)                            
956929,(5yrs 1mth 23days COE left)                            
1020047,(8yrs 10mths 15days COE left)                            
1020610,(6yrs 10mths 21days COE left)                            
1022467,(8yrs 10mths 6days COE left)                            
974922,(9yrs 2mths 1day COE left)                            
1021011,(1yr 4mths 17days COE left)                            
1025613,(9yrs 9mths 29days COE left)                            
1025924,
1018691,(6yrs 1mth 25days COE left)                            
1009956,(3yrs 7mths  COE left)                            
1029083,(1yr 11mths 5days COE left)                            
1019803,(6yrs 1mth 12days COE left)                            
1014226,(6yrs 2mths 15days COE left)                            
1016126,(4yrs 10days COE left)                            
1012081,(6yrs 9mths  COE left)                            
1008703,(2yrs 11mths 13days COE left)                            
1016696,(6yrs 7mths 18days COE left)                            
995312,(6yrs 7mths 30days COE left)                            
985893,(10yrs  COE left)                            
983458,(6yrs 1mth 10days COE left)                            
995980,(2yrs 4mths 23days COE left)                            
1015573,(2yrs 11mths 4days COE left)                            
1023319,(7yrs 21days COE left)                            
1021886,(5yrs 6mths 20days COE left)                            
1027768,(8yrs 1mth 21days COE left)                            
1013988,(6yrs 9mths 30days COE left)                            
1027853,(7yrs 9mths 26days COE left)                            
1028533,(4yrs 11mths 4days COE left)                            
1027301,(9yrs 3mths 6days COE left)                            
964416,(10yrs  COE left)                            
1024716,(7yrs 4mths 3days COE left)                            
1004256,(2yrs 1mth 3days COE left)                            
1023410,(3yrs 1mth 7days COE left)                            
1024862,(6yrs 5mths 29days COE left)                            
1018108,(5yrs 1mth 11days COE left)                            
1015481,(7yrs 2mths 26days COE left)                            
1026668,(4yrs 8mths 19days COE left)                            
1017335,"
								N.A.                            "
1019727,(3yrs 11days COE left)                            
1016147,(1yr 10mths 16days COE left)                            
1029746,(6yrs 10mths 17days COE left)                            
1023483,(10yrs  COE left)                            
1009468,(4yrs 11mths 25days COE left)                            
1012016,(6yrs 1mth 3days COE left)                            
1022007,(10yrs  COE left)                            
1010594,(9yrs 5mths  COE left)                            
981461,(9yrs 5mths 4days COE left)                            
1020356,(1yr 9mths 17days COE left)                            
1024696,(5yrs 1mth 20days COE left)                            
1026864,(3yrs 11mths 28days COE left)                            
1011962,(4yrs 5mths 6days COE left)                            
1025121,(6yrs 8mths 29days COE left)                            
973023,(4yrs 10mths 28days COE left)                            
988445,(5yrs 11mths 13days COE left)                            
1017413,(6yrs 10mths 18days COE left)                            
1010280,(7yrs 7mths 6days COE left)                            
1026846,(10yrs  COE left)                            
996963,"
								N.A.                            "
998054,(2yrs 4mths 19days COE left)                            
988236,(7yrs 10mths 18days COE left)                            
1027792,(9yrs 10mths 1day COE left)                            
1028983,(3yrs 10mths 18days COE left)                            
1025296,(1yr 4mths 27days COE left)                            
1029035,(3yrs 11mths 19days COE left)                            
1021138,(5yrs 7mths 6days COE left)                            
936886,(8yrs 11mths 19days COE left)                            
1029429,(8yrs 9mths 30days COE left)                            
1018468,(5yrs  COE left)                            
1031037,(2yrs 6mths 5days COE left)                            
988238,(4yrs 4mths 3days COE left)                            
1023597,(5yrs 10mths 3days COE left)                            
1019064,(4yrs 7mths 5days COE left)                            
1026426,(7yrs 9mths 18days COE left)                            
992441,(7yrs 2mths 2days COE left)                            
1011392,(6yrs 4mths 2days COE left)                            
998233,(10yrs  COE left)                            
1008086,(4yrs 7mths 1day COE left)                            
1014343,(8yrs 11mths 10days COE left)                            
1026229,(4yrs 2mths 13days COE left)                            
1012174,(8yrs 7mths 5days COE left)                            
1029822,(7yrs 10mths 30days COE left)                            
1011632,(8yrs 5mths  COE left)                            
971211,(6yrs  COE left)                            
1027993,(1yr 5mths 1day COE left)                            
1017353,(3yrs 16days COE left)                            
994047,(8yrs 9mths 18days COE left)                            
1024002,(4yrs 8mths 29days COE left)                            
1005659,(9yrs 7mths 19days COE left)                            
1019437,(1yr 10mths 29days COE left)                            
1021852,(8yrs 10mths 27days COE left)                            
1028335,(10yrs  COE left)                            
948025,(6yrs 9mths 26days COE left)                            
987637,(4yrs 6mths  COE left)                            
960165,(5yrs 9days COE left)                            
855810,(5yrs 9mths 20days COE left)                            
996831,(6mths 29days COE left)                            
984906,(6yrs 1day COE left)                            
985167,(4yrs 11mths 25days COE left)                            
1019379,(4yrs 9mths  COE left)                            
1018717,(10yrs  COE left)                            
992066,(6yrs 6mths 21days COE left)                            
1010659,(4yrs 8mths 4days COE left)                            
1007682,(9yrs 7mths 22days COE left)                            
1025654,(1yr 9mths 11days COE left)                            
1024342,(8yrs 3days COE left)                            
981074,(4yrs 6mths 1day COE left)                            
1001261,(4yrs 3mths 24days COE left)                            
946977,(3yrs 2days COE left)                            
1019895,(1yr 11mths 19days COE left)                            
992706,(4yrs 5mths 6days COE left)                            
1030125,(10yrs  COE left)                            
1020091,(9yrs 6mths 5days COE left)                            
1029567,(2yrs 9mths 24days COE left)                            
1020795,(4yrs 8mths 4days COE left)                            
978046,(7yrs 6mths 18days COE left)                            
975652,(6yrs 4mths 22days COE left)                            
1013085,(4yrs 9days COE left)                            
1023778,(2yrs 4mths 6days COE left)                            
1018473,(5yrs 9mths 13days COE left)                            
1023758,(7yrs 4mths 17days COE left)                            
1006099,(4yrs 11mths 1day COE left)                            
991082,(9yrs 5mths 21days COE left)                            
997359,(2yrs 9mths 17days COE left)                            
981621,(6yrs 2mths 5days COE left)                            
1011121,(7yrs 1mth 9days COE left)                            
1029817,(7yrs 7mths 24days COE left)                            
1021432,(10yrs  COE left)                            
1030740,(6yrs 5mths 12days COE left)                            
980323,(10yrs  COE left)                            
976516,(1yr 11mths 8days COE left)                            
995090,(7yrs 10mths 30days COE left)                            
1029478,(4yrs 9mths 2days COE left)                            
1019965,(5yrs 4mths 12days COE left)                            
1000642,(5yrs 8mths 17days COE left)                            
1000975,(4yrs 11mths 18days COE left)                            
1001917,(4yrs 4mths 20days COE left)                            
1021602,(7yrs 3mths 25days COE left)                            
1030122,(6yrs 2mths 2days COE left)                            
997405,"
								N.A.                            "
1012322,(7yrs 2mths 19days COE left)                            
1000445,"
								N.A.                            "
976124,(4yrs 3mths 6days COE left)                            
1020355,(5yrs 8mths 14days COE left)                            
1004909,(8yrs 2mths 25days COE left)                            
1004351,(5yrs 9days COE left)                            
1025401,(4yrs 7mths 28days COE left)                            
1003006,(4yrs 7mths 6days COE left)                            
1025463,(4yrs 28days COE left)                            
1021543,(7yrs 2mths 16days COE left)                            
1021702,(10yrs  COE left)                            
1026177,(8yrs 6mths 29days COE left)                            
1016512,(8yrs 3mths 16days COE left)                            
1022815,(9yrs 9mths 18days COE left)                            
1024473,(5yrs 6mths 26days COE left)                            
1027412,(7yrs 4mths 1day COE left)                            
1016311,(7yrs 11mths 12days COE left)                            
1003489,(6yrs 5mths 19days COE left)                            
995626,(6yrs 6mths 26days COE left)                            
988556,(11mths 21days COE left)                            
991947,(9yrs 1day COE left)                            
987019,(9yrs 5mths 18days COE left)                            
1016269,(4yrs 1mth 4days COE left)                            
932770,(2yrs 8mths 4days COE left)                            
1013960,(6yrs 10mths 2days COE left)                            
1017651,(3yrs 3mths 7days COE left)                            
998594,(4yrs 1mth 22days COE left)                            
964238,(3yrs 5mths 26days COE left)                            
981879,"
								N.A.                            "
939063,(8yrs 11mths 27days COE left)                            
998703,(6yrs 1mth 5days COE left)                            
1006616,(3yrs 9mths 30days COE left)                            
1028150,(6yrs 8mths 3days COE left)                            
968612,(6yrs 11mths 15days COE left)                            
996416,(5yrs 11mths 15days COE left)                            
999038,(5yrs 5mths 30days COE left)                            
1025071,(3yrs 2mths 3days COE left)                            
968972,(3yrs 8mths 3days COE left)                            
1016759,(5yrs 3mths 29days COE left)                            
1027217,(5yrs 1mth 25days COE left)                            
983985,(10yrs  COE left)                            
975696,(5yrs 2days COE left)                            
1016227,(3yrs 2mths 10days COE left)                            
1029238,(10yrs  COE left)                            
1007154,(6yrs 9mths 1day COE left)                            
1020369,(8yrs 4mths 8days COE left)                            
1014240,(8yrs 2mths 6days COE left)                            
1017037,(5yrs 7mths 10days COE left)                            
1030148,(2yrs 2mths 26days COE left)                            
954364,(6yrs 1mth 22days COE left)                            
936225,(7yrs 6mths 5days COE left)                            
1025245,(5yrs 10mths 2days COE left)                            
1015091,(2yrs 3mths 18days COE left)                            
1029936,(4yrs 6mths 17days COE left)                            
1021984,(9yrs 9mths 24days COE left)                            
1005426,(6yrs 11mths 17days COE left)                            
992031,(7yrs 4mths 2days COE left)                            
1028601,(7yrs 9mths 5days COE left)                            
1015244,(8yrs 7mths 4days COE left)                            
1003701,(5yrs 7mths 14days COE left)                            
1007217,(3yrs 3mths 3days COE left)                            
999447,(6yrs 10mths 30days COE left)                            
1018639,(3yrs 4mths 21days COE left)                            
982271,(4yrs 5mths 3days COE left)                            
1029789,(2yrs 10mths  COE left)                            
964436,(8yrs 9mths 25days COE left)                            
1012171,(8yrs 3mths 19days COE left)                            
1029111,(8yrs 11mths 5days COE left)                            
1014768,(7yrs 7mths 3days COE left)                            
1023589,(5yrs 1mth 18days COE left)                            
1025183,(4yrs 4mths 21days COE left)                            
1013800,(2yrs 3mths 1day COE left)                            
996857,(4mths 21days COE left)                            
1017620,(7yrs 9mths 27days COE left)                            
982115,(5yrs 8mths 21days COE left)                            
1026407,(6yrs 7mths 2days COE left)                            
1027901,(2yrs 7mths 2days COE left)                            
1006274,(7yrs 11mths 4days COE left)                            
997165,(8yrs 7mths 30days COE left)                            
1020103,(8yrs 2mths 26days COE left)                            
995757,(6yrs 1mth 24days COE left)                            
1008302,(5yrs  COE left)                            
1028038,(6yrs 7days COE left)                            
1022641,(5yrs 3mths 25days COE left)                            
1014761,(7yrs 2mths 20days COE left)                            
1028496,(7yrs 1mth 19days COE left)                            
1014157,(5yrs 2mths 11days COE left)                            
1028711,(7yrs 4days COE left)                            
1012930,(1yr 10mths 29days COE left)                            
1027056,(4yrs 6mths 2days COE left)                            
1021038,(3yrs 5mths 29days COE left)                            
1025741,(4yrs 8mths 12days COE left)                            
1024105,(7yrs 6mths 12days COE left)                            
1026597,(3yrs 9mths 7days COE left)                            
1029680,(3yrs 4mths 3days COE left)                            
1028807,(2yrs 2mths 21days COE left)                            
1016698,(5yrs 8mths 2days COE left)                            
986414,(5yrs 10mths 25days COE left)                            
953799,(2yrs 3mths 21days COE left)                            
1019817,(8yrs 9mths 17days COE left)                            
991875,(6yrs 2mths 3days COE left)                            
1015070,(5yrs 11mths 15days COE left)                            
1022280,(2yrs 1mth 5days COE left)                            
1031111,(3yrs 3mths 9days COE left)                            
1019476,(5yrs 10mths 23days COE left)                            
1007494,(8yrs 10mths 6days COE left)                            
1029030,(1yr 6mths 25days COE left)                            
1021659,(8yrs 4mths 8days COE left)                            
1018749,(6yrs 10mths 24days COE left)                            
1026718,(6yrs 7mths 18days COE left)                            
1030428,(9yrs 6days COE left)                            
972744,(9yrs 3mths 30days COE left)                            
1007064,(7yrs 6mths 5days COE left)                            
1001105,(3yrs 6days COE left)                            
1025657,(2yrs 20days COE left)                            
1027555,(5yrs 8days COE left)                            
1018315,(6yrs 8mths  COE left)                            
1026036,(7mths 10days COE left)                            
1029538,(4yrs 10mths 28days COE left)                            
1025886,
1024441,(1yr 11mths 19days COE left)                            
1025658,(8yrs 2mths 26days COE left)                            
1027811,(4yrs 7mths 7days COE left)                            
1008304,(7yrs 15days COE left)                            
1024632,(5yrs 3mths  COE left)                            
995501,(7yrs 10mths 5days COE left)                            
962714,(5yrs 27days COE left)                            
976313,"
								N.A.                            "
1011368,(6yrs 8mths 7days COE left)                            
979117,(4yrs 4mths 1day COE left)                            
899809,(8yrs 2mths 28days COE left)                            
1021158,(1yr 9mths 6days COE left)                            
995330,(4yrs 6mths 5days COE left)                            
1008526,(6yrs 4mths 1day COE left)                            
1001331,(2yrs 9mths 20days COE left)                            
1018367,(3yrs 9mths 16days COE left)                            
1018201,(6yrs 11mths 4days COE left)                            
1014011,(7yrs 8mths  COE left)                            
1006443,(7yrs 9mths 27days COE left)                            
1030227,(5yrs  COE left)                            
1024190,(3yrs 7mths 2days COE left)                            
1008148,(9yrs 7mths 29days COE left)                            
1000936,(7yrs 9mths 21days COE left)                            
1006714,(3yrs 8mths 3days COE left)                            
1023605,(10yrs  COE left)                            
1026287,(8yrs 10mths 27days COE left)                            
1020275,(2yrs 10mths 6days COE left)                            
1026217,(4yrs 8mths 18days COE left)                            
1006688,(8yrs 8mths  COE left)                            
1013407,(7yrs 3mths 3days COE left)                            
1023989,(5yrs 27days COE left)                            
1025922,(3yrs 3mths 17days COE left)                            
1020435,(6yrs 5mths 2days COE left)                            
1018260,(10yrs  COE left)                            
1027241,(6yrs 6mths 4days COE left)                            
1026475,(6yrs 3mths 6days COE left)                            
1021546,(3yrs 4mths 14days COE left)                            
998026,(3yrs 6mths 22days COE left)                            
1024543,(4yrs 3mths  COE left)                            
1029163,(4yrs 8mths 25days COE left)                            
1004771,(4yrs 5mths 2days COE left)                            
1016353,(6mths 13days COE left)                            
1010719,(8yrs 10mths 6days COE left)                            
1026919,(8yrs 7mths 6days COE left)                            
1020881,(8yrs 10mths 23days COE left)                            
1021321,(5yrs 21days COE left)                            
1028586,(5yrs 8mths 23days COE left)                            
1024402,(6yrs 11mths 16days COE left)                            
1011810,(3yrs 6mths 19days COE left)                            
1015756,(4yrs 10mths 28days COE left)                            
1017441,(2yrs 11mths 4days COE left)                            
1021199,(2yrs 5mths 2days COE left)                            
908063,"
								N.A.                            "
1021862,(2yrs 7mths 23days COE left)                            
1029424,(7yrs 9mths 30days COE left)                            
1014726,(7yrs 9mths 6days COE left)                            
1023973,(2yrs 1mth 13days COE left)                            
1021864,(2yrs 2mths 6days COE left)                            
1018080,(7yrs 1mth 5days COE left)                            
1029879,(6yrs 5mths 3days COE left)                            
999799,(4yrs 4mths 10days COE left)                            
1008340,(2yrs 6mths 5days COE left)                            
982870,(9yrs 4mths 11days COE left)                            
1018258,(3yrs 3mths 18days COE left)                            
1022493,(7yrs 3mths 17days COE left)                            
1002535,(1yr 7mths 14days COE left)                            
1020154,(6yrs 1mth 10days COE left)                            
1030093,(5yrs 8mths 4days COE left)                            
1024638,(5yrs 10mths 13days COE left)                            
1020183,(4yrs 2mths 9days COE left)                            
1027025,(3yrs 3mths 9days COE left)                            
984778,(6yrs 5mths 18days COE left)                            
975701,(5yrs 7mths 5days COE left)                            
1029103,(7yrs 1mth 3days COE left)                            
1009042,(4yrs 5mths 25days COE left)                            
992328,(3yrs 1mth 26days COE left)                            
1025308,(1yr 6mths 21days COE left)                            
1003395,(6yrs 7mths 10days COE left)                            
1030710,(5yrs  COE left)                            
1021644,(2yrs 5mths 26days COE left)                            
1015158,(9yrs 1mth 4days COE left)                            
971534,(2yrs 5mths 4days COE left)                            
1011555,(5yrs 14days COE left)                            
1018508,(6yrs 1mth 19days COE left)                            
1002662,(6yrs 6mths 22days COE left)                            
996553,(9yrs 6mths 5days COE left)                            
1024388,(10yrs  COE left)                            
1030009,(6yrs 1mth 5days COE left)                            
997700,"
								N.A.                            "
1012707,(2yrs 2mths 6days COE left)                            
1025971,(5yrs 4mths 25days COE left)                            
1013477,(5yrs 8days COE left)                            
1008660,(5yrs 5mths 4days COE left)                            
1025009,(6yrs 10mths 6days COE left)                            
1027177,(7yrs 1mth 13days COE left)                            
984384,(6yrs 1mth 17days COE left)                            
965748,(4yrs 8mths 18days COE left)                            
980478,(8yrs 2mths 14days COE left)                            
1027499,(8yrs 4mths 21days COE left)                            
1023150,(6yrs 1mth 3days COE left)                            
1030024,(4yrs 4mths 23days COE left)                            
1012532,(7yrs 6mths 4days COE left)                            
1023537,(4yrs 1mth 22days COE left)                            
967887,(9yrs 3mths 13days COE left)                            
1000767,(9yrs 7mths 5days COE left)                            
1009589,(9yrs 8mths 3days COE left)                            
1013321,(9yrs 2mths 13days COE left)                            
1015345,(9yrs 7mths 20days COE left)                            
1026723,(8yrs 11days COE left)                            
1023665,(9yrs 9mths 22days COE left)                            
1029002,(7yrs 2mths 2days COE left)                            
1030495,(8yrs 8mths 21days COE left)                            
1030942,(6yrs 4days COE left)                            
1011332,
1004769,(5yrs 4mths 7days COE left)                            
1020876,(6yrs 7mths 10days COE left)                            
1021623,(1yr 10mths 17days COE left)                            
968525,(7yrs 4mths 2days COE left)                            
1030081,(3yrs 9mths 11days COE left)                            
1010784,(7yrs 11mths 5days COE left)                            
1024028,(4yrs 9mths 15days COE left)                            
1005688,(6yrs 8mths 1day COE left)                            
1030082,(8yrs 6mths 5days COE left)                            
1025890,(6yrs 6mths 5days COE left)                            
1015798,(3yrs 6days COE left)                            
1005015,(3yrs 8mths 24days COE left)                            
1031259,(2yrs 5mths 6days COE left)                            
1027235,"
								N.A.                            "
1010132,(8yrs 7mths 29days COE left)                            
1024933,(3yrs 5mths 29days COE left)                            
998827,(8yrs 9mths 17days COE left)                            
1004308,(9yrs 7mths 16days COE left)                            
1027603,(9yrs 4mths 13days COE left)                            
1023027,(9mths 8days COE left)                            
1019910,(5yrs 5mths 26days COE left)                            
1016640,(4yrs 5mths 10days COE left)                            
999265,(8yrs 11mths 5days COE left)                            
1030226,(7yrs 2mths 30days COE left)                            
1030780,(8yrs 9mths 19days COE left)                            
1004628,(4yrs 5mths 5days COE left)                            
1021166,(6yrs 1mth 26days COE left)                            
1013703,(8yrs 6mths 5days COE left)                            
1018760,(4yrs 5mths 12days COE left)                            
1021909,(8yrs 3days COE left)                            
1029120,(4yrs 3mths 3days COE left)                            
1010122,(6yrs 2mths 13days COE left)                            
999729,(9yrs 21days COE left)                            
993896,(9yrs 6mths 5days COE left)                            
981895,(1yr 10mths 30days COE left)                            
1018231,(6yrs 11mths 7days COE left)                            
1008962,(9yrs 2mths 6days COE left)                            
988367,(8yrs 5mths 26days COE left)                            
1003957,(4yrs 7mths 25days COE left)                            
1001605,(9yrs 6mths 14days COE left)                            
1014159,(3yrs 10mths 14days COE left)                            
1028534,(6yrs 2mths 2days COE left)                            
1023017,(5yrs 3mths 1day COE left)                            
1002323,(10yrs  COE left)                            
1001704,(9yrs 6mths 5days COE left)                            
1016946,(1yr 8mths 5days COE left)                            
1013985,(7yrs 10mths 6days COE left)                            
1017006,(7yrs 5mths 27days COE left)                            
1017656,(4yrs 4mths  COE left)                            
988992,(10yrs  COE left)                            
1007467,(8yrs 8mths 28days COE left)                            
1010386,(7yrs 8mths 17days COE left)                            
1018935,(5yrs 8mths 24days COE left)                            
984611,(3yrs 3mths 1day COE left)                            
1030905,"
								N.A.                            "
1001562,(3yrs 11mths 10days COE left)                            
1025137,(5yrs 28days COE left)                            
1018623,(7yrs 9mths 7days COE left)                            
1013457,(9yrs 3mths 4days COE left)                            
1016770,(4yrs 11mths 10days COE left)                            
1016366,(9yrs 8mths 25days COE left)                            
1021080,(5yrs 1mth 27days COE left)                            
985744,(3yrs 3mths 16days COE left)                            
995898,(10yrs  COE left)                            
1024031,(7yrs 2mths 9days COE left)                            
974506,(7yrs 5mths 6days COE left)                            
1023783,(4yrs 10mths 21days COE left)                            
1001210,(3yrs 6mths 12days COE left)                            
1014452,(4yrs 10mths 7days COE left)                            
1017065,(6yrs 6days COE left)                            
1018736,(8yrs 7mths 16days COE left)                            
1016414,(2yrs 3mths 30days COE left)                            
952345,(6yrs 3mths 19days COE left)                            
1027225,(8yrs 1mth 20days COE left)                            
1020925,(4yrs 8mths 15days COE left)                            
1004980,(6mths 5days COE left)                            
995358,(7yrs 6mths 5days COE left)                            
1028990,(7yrs 2mths 5days COE left)                            
1020915,(4yrs 8mths 29days COE left)                            
984527,(9yrs 5mths 12days COE left)                            
1023996,(7yrs 5mths 6days COE left)                            
1025024,(7mths 13days COE left)                            
1024803,(5yrs  COE left)                            
1023166,(3yrs 2mths 6days COE left)                            
1008647,(4yrs 2mths 2days COE left)                            
970464,
996708,(6yrs 2mths 1day COE left)                            
1022333,(4yrs 11mths 1day COE left)                            
1009392,(10yrs  COE left)                            
1022368,(1yr 5mths 9days COE left)                            
1016892,(7yrs 5mths 6days COE left)                            
1025545,(4yrs 11mths 17days COE left)                            
1028153,(5yrs 8mths 28days COE left)                            
1026323,(4yrs 5mths 5days COE left)                            
1016467,(8yrs 4mths 1day COE left)                            
1028638,(8yrs 10mths 6days COE left)                            
1019240,(8yrs 2mths 14days COE left)                            
986569,(8yrs 4mths 15days COE left)                            
1030811,(7yrs 4mths 3days COE left)                            
962535,(6yrs 8mths 3days COE left)                            
1024332,(5yrs 5mths 9days COE left)                            
1006389,(9yrs 7mths 12days COE left)                            
1000515,(5yrs 3mths 28days COE left)                            
1005470,
1025905,(4yrs 10mths 5days COE left)                            
1005184,(9yrs 7mths 6days COE left)                            
995894,(4yrs 5mths 3days COE left)                            
986284,(4yrs 1mth 14days COE left)                            
1027091,(4yrs 11mths 18days COE left)                            
998496,(8yrs 5mths 10days COE left)                            
975818,(5yrs 19days COE left)                            
1017256,(1yr 8mths 1day COE left)                            
